x y z mass age lifetime 
74.3150596 70.158453408 51.898986539 30.761358239558362 5.6196105923789865 7.494313052112308 
45.116690707 45.78292312 60.45886701 9.911601768798302 4.576894887483781 32.26834580441608 
44.909647056 45.991042805 59.823642008 10.781055378009434 4.3880124388391835 28.114382909372985 
44.909647056 45.991042805 59.823642008 30.885668424438894 4.202701723849881 7.47472603906385 
45.987987807 46.171962161 60.147469746 10.172471045733705 3.4863655825256323 29.998521916994477 
37.454658757 43.755313186 68.304686608 13.663731299224276 2.1177574771618612 19.18979864699792 
39.422478763 44.463900883 64.309962464 34.445884036293315 1.5533648724136757 6.913758409302764 
51.114269541 60.344402786 77.617761646 58.3350772492234 1.2206431609849417 4.966009072351006 
51.203870196 62.524176288 79.920851471 9.658682166129445 0.627451705695341 37.283027161256854 
51.03898961 62.126170603 79.833055405 16.504311910132056 0.5055873230266403 13.675479357350921 
51.03898961 62.126170603 79.833055405 43.01134355756202 0.12273756234824162 5.973390838821765 
