x y z mass age lifetime 
50.158280537 51.441343382 58.408199154 30.761358239558362 7.029007611258813 7.494313052112308 
50.158280537 51.441343382 58.408199154 9.911601768798302 6.202219602340335 32.26834580441608 
56.621270234 71.8533761 62.596951146 10.781055378009434 5.83448439950643 28.114382909372985 
56.621270234 71.8533761 62.596951146 30.885668424438894 5.3999355669731415 7.47472603906385 
58.386207193 69.375589016 60.396442386 10.172471045733705 4.772686700308488 29.998521916994477 
47.804264093 60.700327387 62.637814756 13.663731299224276 4.564323916520205 19.18979864699792 
38.807314997 58.955021848 62.626501367 34.445884036293315 4.412188975247026 6.913758409302764 
49.781027829 55.275254826 70.535173138 58.3350772492234 4.011915763656492 4.966009072351006 
49.377048141 55.03670571 70.799701699 9.658682166129445 3.817278964622399 37.283027161256854 
47.804264093 60.700327387 62.637814756 16.504311910132056 3.2560969565726374 13.675479357350921 
44.78449209 51.153248889 78.228067393 43.01134355756202 2.686141757232061 5.973390838821765 
