x y z mass age lifetime 
54.14909938 54.117120185 58.657018195 30.761358239558362 5.763596565702213 7.494313052112308 
54.14909938 54.117120185 58.657018195 9.911601768798302 4.936808556783735 32.26834580441608 
58.835921308 70.400124297 62.070438304 10.781055378009434 4.56907335394983 28.114382909372985 
58.835921308 70.400124297 62.070438304 30.885668424438894 4.134524521416541 7.47472603906385 
60.596785219 68.290920531 60.243621236 10.172471045733705 3.5072756547518873 29.998521916994477 
51.357879758 60.371891461 62.140734795 13.663731299224276 3.298912870963605 19.18979864699792 
44.681123691 60.144199787 61.858743211 34.445884036293315 3.1467779296904252 6.913758409302764 
51.533407024 55.645263354 68.923710631 58.3350772492234 2.7465047180998914 4.966009072351006 
51.926928988 55.640376991 69.841522971 9.658682166129445 2.5518679190657982 37.283027161256854 
51.357879758 60.371891461 62.140734795 16.504311910132056 1.9906859110160369 13.675479357350921 
48.091912458 52.585523197 74.99646648 43.01134355756202 1.4207307116754606 5.973390838821765 
