x y z mass age lifetime 
58.721726766 64.679067751 59.080074227 21.710538690897533 5.069354575721654 9.829220547743597 
51.156831186 59.468603138 61.791154142 12.852318939243817 5.0204560301842225 21.701880537643977 
51.299428475 59.622109604 61.882711697 9.804288965527324 4.943315674232984 34.396055588818335 
51.156831186 59.468603138 61.791154142 10.936512233869193 4.87731178507495 27.63309821138336 
51.299428475 59.622109604 61.882711697 14.504197560255665 4.693013995561586 16.58776769812203 
51.156831186 59.468603138 61.791154142 8.7278623236069 4.367490101447908 55.7385555547265 
50.112763748 54.680376276 65.951275531 13.000429571486068 3.833997146734024 21.24333928810395 
66.982938721 61.212525402 56.729895876 10.857211052690461 3.0319776979998645 27.878609705215055 
60.624682458 78.84005329 65.51372427 8.337623226311829 2.4067310246822666 63.47589462732416 
52.207533469 57.747557899 64.575272511 18.334920860117037 1.657958496923853 11.995416179413047 
