x y z mass age lifetime 
54.833529608 62.92266746 58.409090259 8.03276878175713 1.69758469518402 69.52029720475396 
54.05613002 62.097494515 59.544996602 18.694120604316417 1.5513423004099525 11.665756333481221 
54.732687804 62.849108416 58.438650372 16.296102410768146 1.3836492080647584 13.866566105789417 
53.987982598 62.104294966 59.817539793 25.612822769405074 1.3836492080647584 8.47965768135024 
53.904035034 61.682397663 60.004253711 39.911235489698655 0.9917268898823997 6.182729747286901 
57.266777498 67.363681188 59.448062897 11.077489087298662 0.30915776781321025 27.196642695321955 
