x y z mass age lifetime 
54.202410041 63.465320418 59.433224285 68.1151573041918 3.3852327396175417 4.598617144714756 
54.053903987 60.886368173 61.042522862 12.312904147608043 3.3394257566971213 23.371874978292922 
53.804630718 60.566732802 61.593714659 18.627079395423053 3.263403133310067 11.727284201794825 
54.053903987 60.886368173 61.042522862 17.994623010656362 3.154568312435546 12.307728585367064 
54.423358092 63.549635119 59.412574929 54.0374827892342 1.6394609682120498 5.248532795863196 
