x y z mass age lifetime 
52.84192083 62.717636878 66.560212127 8.760448340732838 4.017128098176431 55.0924668739683 
53.248106793 61.676694483 60.440352643 11.33511254096095 3.867546244880813 26.399056603834698 
53.327086914 61.690747777 60.147454108 13.430632593790312 3.75586752513167 19.911457653726096 
53.271347571 61.579630993 59.280627682 16.690318533256203 3.7477195605152334 13.504769562168946 
53.327086914 61.690747777 60.147454108 13.752605644438779 3.5343087856765742 18.9146492364228 
53.248106793 61.676694483 60.440352643 11.304074045673449 3.3255187405639512 26.49514984264094 
59.426311971 69.773085298 61.989986156 9.423541191492756 2.942347345258298 41.94520853481932 
53.327086914 61.690747777 60.147454108 9.480069576453241 2.5997847078037823 40.82441032294756 
53.248106793 61.676694483 60.440352643 55.01034736587024 2.2621466151912246 5.184576709332771 
62.463931431 62.346116217 57.285593044 10.579787418612439 1.7868244660210602 28.73749591676246 
68.35556576 58.305995641 57.725874826 20.990582360191848 0.9344389054269859 10.098232572810607 
